,ID,净利润2
0,5978045,0.10507092967833175
1,5978049,0.07553052903667844
2,5978057,0.07157333726803536
3,5978060,0.16481396865611525
4,5978072,0.02684881398125763
5,5978080,0.018116366797276916
6,5978093,0.03348020544800302
7,5978098,0.07300041577373403
8,5978101,0.06313324551455639
9,5978107,0.1461574543126764
10,5978114,0.20778759183842438
11,5978116,0.19037557173614517
12,5978121,0.21542895683717408
13,5978124,0.046662808658301254
14,5978136,0.14941532707176197
15,5978143,0.22084234962535243
16,5978148,0.12869922629413855
17,5978150,0.06994760596260154
18,5978151,0.06352687544132996
19,5978152,0.07691878024273227
20,5978153,0.25114731010224156
21,5978159,0.038090648074159406
22,5978160,0.1373466767884959
23,5978165,0.10947298935475738
24,5978171,0.3097576931797134
25,5978179,0.12484310133652154
26,5978183,0.11325245019764119
27,5978189,0.1252808024974306
28,5978197,0.3323216009334949
29,5978200,0.05964367095938818
30,5978207,0.12168491630179402
31,5978209,0.040631790348793544
32,5978210,0.08503062388150873
33,5978214,0.20826527973880382
34,5978220,0.06838398473636004
35,5978231,0.34381401999968675
36,5978233,0.23278103012875
37,5978238,0.07001197300289433
38,5978241,0.036537245396965325
39,5978250,0.10262999068119796
40,5978260,0.07073768173882221
41,5978261,0.12123023577838159
42,5978263,0.30378082614815394
43,5978264,0.11354158924360945
44,5978266,0.16181813928786334
45,5978268,0.09012255894520564
46,5978278,0.22430189551783092
47,5978282,0.13615358321895352
48,5978283,0.49854727830758216
49,5978293,0.12104025476641884
50,5978297,0.08174102545700562
51,5978302,0.35337106691112874
52,5978311,0.0936375037765118
53,5978328,0.03783422686622015
54,5978344,0.2701390823937498
55,5978369,0.08864761545099335
56,5978370,0.1432711394216229
57,5978378,0.01933694989192642
58,5978381,0.1546324006881557
59,5978384,0.1816523965343271
60,5978396,0.005201228307846215
61,5978398,0.13084708572743103
62,5978399,0.061333266994231396
63,5978412,0.08699024659934783
64,5978416,0.27474223722263447
65,5978422,0.23245953735594613
66,5978427,0.10379578896492384
67,5978433,0.3289061858143924
68,5978434,0.04185324783991764
69,5978442,0.14173030812280174
70,5978452,0.08313178512522923
71,5978456,0.06794512960718278
72,5978460,0.24393163911546198
73,5978461,0.004067198996120466
74,5978463,0.07021769328348593
75,5978481,0.3411497796807095
76,5978484,0.0051240428628688385
77,5978485,0.22087315111935574
78,5978492,0.1983460087581948
79,5978493,0.043833989763270534
80,5978498,0.13812877594460787
81,5978500,0.0855628727767563
82,5978502,0.14089819663680056
83,5978508,0.037171398843502255
84,5978513,0.17844227615363129
85,5978516,0.14303965995723728
86,5978521,0.16583132311027807
87,5978562,0.06614654709743888
88,5978576,0.2427477027206623
89,5978580,0.08950838487312474
90,5978583,0.11272379184628371
91,5978587,0.009151059170491312
92,5978593,0.04347003016509543
93,5978598,0.16920281355504335
94,5978599,0.11720895993903123
95,5978615,0.333962904138495
96,5978616,0.07687423995613266
97,5978619,0.032917314737278956
98,5978620,0.026661801207186614
99,5978621,0.04684928236342928
100,5978623,0.11919775714294245
101,5978624,0.0853409505415807
102,5978629,0.05588186603470346
103,5978645,0.09951210741344965
104,5978654,0.03542624695632496
105,5978655,0.213943188640408
106,5978669,0.14335746471003707
107,5978673,0.2143039881190287
108,5978684,0.07100123663891195
109,5978685,0.24580028641659518
110,5978691,0.3012849195314795
111,5978692,0.27580693842731424
112,5978697,0.290895757452382
113,5978707,0.03665429840108372
114,5978715,0.20660369795710393
115,5978726,0.1319770457803499
116,5978733,0.26057651525028525
117,5978740,0.1571676689732817
118,5978747,0.1240592684413046
119,5978748,0.273820872119118
120,5978749,0.24510606199502707
121,5978750,0.0812728671008224
122,5978752,0.004942207731828521
123,5978762,0.2111976872511375
124,5978766,0.0705511228030393
125,5978772,0.19347758689248268
126,5978773,0.28908146394843
127,5978776,0.06976939632192548
128,5978777,0.11047042476680806
129,5978779,0.04192491872812605
130,5978782,0.23360042794764097
131,5978783,0.0640940603038821
132,5978784,0.09382886765864507
133,5978789,0.173925782755478
134,5978792,0.021443020743598253
135,5978795,0.24002682536258205
136,5978799,0.06429179948960721
137,5978800,0.05240540499741623
138,5978803,0.21497652202620268
139,5978807,0.05647003440591969
140,5978821,0.07498663830418136
141,5978826,0.051851866333496886
142,5978833,0.2912971908531001
143,5978837,0.11330491324036279
144,5978841,0.014032253245754571
145,5978847,0.33942907579000714
146,5978849,0.0023097299164941245
147,5978855,0.30850928490519836
148,5978859,0.16629845046202493
149,5978865,0.06403680744882023
150,5978868,0.12429288847316414
151,5978870,0.04562746076111189
